experiment_id,run_name,best_epoch,best_val_miou,last_epoch,history_copied
E005,E005_segformer_b1_3ep,3,0.472244,3,True
E006,E006_segformer_b2_3ep,2,0.492730,3,True
E007,E007_segformer_b2_20ep,12,0.514223,20,True
E008,E008_segformer_b2_bgaux,8,0.512210,8,True
E009,E009_mit_b2_upernet_10ep,6,0.524680,10,True
E010,E010_mit_b2_ocr_fpn_10ep,2,0.509618,10,True
E011,E011_mit_b2_mdc_10ep,8,0.510218,10,True
E012,E012_mit_b2_uper_ocr_10ep,5,0.517584,10,True
E013,E013_cnnpre_mit_b2_upernet_10ep,7,0.518137,10,True
E014,E014_mit_b2_cnnstem_upernet_10ep,3,0.520200,10,True
E015,E015_mit_b2_cnnpyr_upernet_10ep,5,0.518697,10,True
E016,E016_mit_b2_detail_upernet_10ep,5,0.514407,10,True
E017,E017_mit_b2_localconv_upernet_10ep,7,0.512600,10,True
E018,E018_mit_b2_adaptive_rf_upernet_10ep,4,0.515269,10,True
E019,E019_mit_b2_frequency_upernet_10ep,2,0.518691,10,True
E020,E020_mit_b2_selective_pyramid_10ep,4,0.519415,8,True
E024,E024_v7_control_upernet,6,0.514535,8,True
E025,E025_v7_rf_adapter,5,0.516517,8,True
E026,E026_v7_frequency_adapter,6,0.515806,8,True
E027,E027_v7_localglobal_adapter,6,0.516325,8,True
E028,E028_v71_control_upernet,1,0.521899,5,True
E029,E029A_v71_widecontext_warm,2,0.516626,2,True
E029,E029_v71_widecontext,1,0.518262,5,True
E030,E030A_v71_fadc_warm,2,0.515102,2,True
E030,E030_v71_fadc_lite,,,,False
E032,E032_v72_control_basic_ce,5,0.510874,12,True
E033,E033_v72_multiscale_ce,5,0.520412,12,True
E034,E034_v72_rare_basic_ce,5,0.523745,12,True
E035,E035_v72_multiscale_rare_ce,5,0.530609,12,True
E036,E036_v72_multiscale_ce_lovasz,5,0.529723,12,True
E037,E037_v72_multiscale_rare_ce_lovasz,5,0.536149,12,True
E038,E038_v73_rural_mixedforest,5,0.532375,12,True
E039,E039_v73_bg_bce,5,0.536298,12,True
E040,E040_v74_hier_bgfg,5,0.530239,12,True
E041,E041_v74_forest_rescue,5,0.534484,12,True
E042,E042_v76_hrda_lite,5,0.545099,12,True
E043,E043_v77_hrda_daformer,1,0.517676,2,True
E044,E044_v78_augdg_color,5,0.536445,12,True
E054,E054_MTP_frozen_UPerNet,,,,False
E055,E055_MTP_DA_LoRA,,,,False
E057,E057A_mtp_guided_mitb2,5,0.531731,12,True
E058,E058_barren_first_curriculum,5,0.542694,10,True
E072,E072_balance_only,5,0.535152,12,True
E073,E073_fosmix_only_beta005,9,0.525436,12,True
E074,E074_fosmix_only_mild,5,0.532849,12,True
E075,E075_balance_fosmix_mild,4,0.522664,12,True
E076,E076_mixstyle_only,5,0.543620,12,True
E077,E077_balance_crossdomain_mixstyle,5,0.535620,12,True
E078,E078_balance_crossdomain_classmix,5,0.523220,12,True
E079,E079_balance_fosmix_classmix,5,0.522976,12,True
E079,E079_balance_fosmix_classmix__previous_20260817_125315,5,0.523080,12,True
E080,E080_mixstyle_stage1_only,5,0.535003,12,True
E081,E081_mixstyle_stage2_only,4,0.535649,12,True
E082,E082_mixstyle_p030,5,0.537407,12,True
E083,E083_mixstyle_p070,5,0.530538,12,True
E084,E084_mixstyle_semantic_consistency,6,0.529991,12,True
E085,E085_mixstyle_prototype_consistency,4,0.532366,12,True
E086,E086_e037_hardpixel_ce_lovasz,5,0.535331,12,True
E087,E087_e037_boundary_aux,5,0.536628,12,True
E088,E088_e037_ocr_lite,4,0.533289,12,True
E089,E089_e037_crop768_accum2,4,0.537283,12,True
E090,E090_e037_blv_lite,5,0.545243,12,True
E090,E090_e037_blv_lite__previous_20260819_135410,5,0.545018,7,True
E096,E096_e037_blv_repo_sigma4,5,0.541862,12,True
E097,E097_e037_blv_paper_sigma6,5,0.540856,12,True
E098,E098_e090lite_trainval_final,3,0.000000,3,True
E098,E098_e090lite_trainval_final__previous_20260819_162354,,,,False
E098,E098_e090lite_trainval_final__previous_20260819_163704,1,0.575365,1,True
E099,E099_e090lite_valonly_1epoch,1,0.000000,1,True
E100,E100_e090lite_classaware_spatial_combined,5,0.544241,8,True
E105,E105_e090lite_mlp_fusion,5,0.535924,12,True
E106,E106_e090lite_progressive_fusion,4,0.535644,12,True
E107,E107_e090lite_global_local_progressive,5,0.541532,12,True
E111,E111_e090lite_100ep_noval,43,0.000000,43,True
