run,model,epoch,lr,scheduler,backbone_lr_mult,crop_size,context_size,batch_size,min_valid_ratio,rare_crop,rare_crop_prob,rare_classes,rare_min_ratio,loss_name,lovasz_weight,multi_scale_values,dice_weight,fg_aux_bce_weight,fg_aux_dice_weight,aux_loss_weight,init_encoder_from,init_ablation_from,strict_ablation,model_seed,data_seed,train_seed,new_lr_mult,lr_base,lr_backbone,lr_new,train_main_loss,train_fg_bce,train_fg_dice,train_aux_ce,augmentation,train_loss,train_miou,train_pixel_acc,train_skipped_all_ignore,train_skipped_nonfinite,val_loss,val_miou,val_pixel_acc,val_skipped_all_ignore,val_skipped_nonfinite,seconds,peak_vram_gb,val_iou_background,val_iou_building,val_iou_road,val_iou_water,val_iou_barren,val_iou_forest,val_iou_agriculture
E032_v72_control_basic_ce,mit_b2_upernet,1,0.0001,cosine,0.2,512,256,8,0.05,False,0.4,"barren,forest",0.02,ce,0.5,"0.75,1.0,1.25,1.5",0.3,0.7,0.5,0.4,outputs/experiments/E007_segformer_b2_20ep/checkpoints/best_miou.pth,,True,3407,20260809,271828,1.0,0.0001,2e-05,0.0,0.6041740210283371,0.0,0.0,0.0,basic,0.6041740210283371,0.6528146857385543,0.7905663540597166,0,0,1.0720236971617885,0.4713924219450019,0.6880373124984676,0,0,251.37208819389343,6.424944877624512,0.533201332117976,0.607276250182023,0.5410374189633814,0.7108746494951432,0.03232803745608258,0.35651868947836685,0.5185105759220396
E032_v72_control_basic_ce,mit_b2_upernet,2,9.829629131445342e-05,cosine,0.2,512,256,8,0.05,False,0.4,"barren,forest",0.02,ce,0.5,"0.75,1.0,1.25,1.5",0.3,0.7,0.5,0.4,outputs/experiments/E007_segformer_b2_20ep/checkpoints/best_miou.pth,,True,3407,20260809,271828,1.0,9.829629131445342e-05,1.9659258262890683e-05,0.0,0.5029086388292767,0.0,0.0,0.0,basic,0.5029086388292767,0.6862726335109893,0.8131210317138705,0,0,1.0712191563759124,0.509916018850239,0.7004731291816574,0,0,246.8617808818817,6.424944877624512,0.5422772228501679,0.6330495283779105,0.5281924337555718,0.714321155302007,0.291472481287489,0.32961254679998564,0.5304867635785407
E032_v72_control_basic_ce,mit_b2_upernet,3,9.330127018922195e-05,cosine,0.2,512,256,8,0.05,False,0.4,"barren,forest",0.02,ce,0.5,"0.75,1.0,1.25,1.5",0.3,0.7,0.5,0.4,outputs/experiments/E007_segformer_b2_20ep/checkpoints/best_miou.pth,,True,3407,20260809,271828,1.0,9.330127018922195e-05,1.866025403784439e-05,0.0,0.48065661461580367,0.0,0.0,0.0,basic,0.48065661461580367,0.6919159527138098,0.8166022017916096,0,0,1.1988329143045051,0.500793892506155,0.6946473868098958,0,0,247.1144096851349,6.424944877624512,0.5397930746665003,0.6291542541321122,0.5294802518666369,0.703484163208324,0.23009315677292153,0.36047056368393016,0.5130817832126605
E032_v72_control_basic_ce,mit_b2_upernet,4,8.535533905932738e-05,cosine,0.2,512,256,8,0.05,False,0.4,"barren,forest",0.02,ce,0.5,"0.75,1.0,1.25,1.5",0.3,0.7,0.5,0.4,outputs/experiments/E007_segformer_b2_20ep/checkpoints/best_miou.pth,,True,3407,20260809,271828,1.0,8.535533905932738e-05,1.7071067811865477e-05,0.0,0.48647742545793926,0.0,0.0,0.0,basic,0.48647742545793926,0.6881976335292894,0.8157888043355866,0,0,1.0794070254672656,0.5060038486952244,0.701240234069608,0,0,246.964670419693,6.424944877624512,0.5498255897631132,0.5894842668661862,0.5299602122852852,0.6984800330253952,0.28887228002045046,0.34925230520546785,0.5361522537006723
E032_v72_control_basic_ce,mit_b2_upernet,5,7.500000000000001e-05,cosine,0.2,512,256,8,0.05,False,0.4,"barren,forest",0.02,ce,0.5,"0.75,1.0,1.25,1.5",0.3,0.7,0.5,0.4,outputs/experiments/E007_segformer_b2_20ep/checkpoints/best_miou.pth,,True,3407,20260809,271828,1.0,7.500000000000001e-05,1.5000000000000004e-05,0.0,0.45917203246601046,0.0,0.0,0.0,basic,0.45917203246601046,0.6991662877182596,0.8231292124304388,0,0,0.9830046301823484,0.5108738482505907,0.7047756921366872,0,0,244.91010880470276,6.424944877624512,0.5465432726915205,0.6428141744404228,0.5702623157132488,0.7177463840812864,0.2119676475202482,0.35161599437589,0.5351671489315182
E032_v72_control_basic_ce,mit_b2_upernet,6,6.294095225512605e-05,cosine,0.2,512,256,8,0.05,False,0.4,"barren,forest",0.02,ce,0.5,"0.75,1.0,1.25,1.5",0.3,0.7,0.5,0.4,outputs/experiments/E007_segformer_b2_20ep/checkpoints/best_miou.pth,,True,3407,20260809,271828,1.0,6.294095225512605e-05,1.258819045102521e-05,0.0,0.45232505169179704,0.0,0.0,0.0,basic,0.45232505169179704,0.7064159078078175,0.8261704185405615,0,0,1.04728056996633,0.5102707235078652,0.6998159852219732,0,0,239.9229815006256,6.424944877624512,0.5434759989483515,0.6101414737801247,0.5596230413876364,0.7116870887200719,0.2583598475349662,0.370829143612517,0.5177784705713883
E032_v72_control_basic_ce,mit_b2_upernet,7,5.000000000000001e-05,cosine,0.2,512,256,8,0.05,False,0.4,"barren,forest",0.02,ce,0.5,"0.75,1.0,1.25,1.5",0.3,0.7,0.5,0.4,outputs/experiments/E007_segformer_b2_20ep/checkpoints/best_miou.pth,,True,3407,20260809,271828,1.0,5.000000000000001e-05,1.0000000000000003e-05,0.0,0.43980934998345755,0.0,0.0,0.0,basic,0.43980934998345755,0.7124770281108386,0.8313568652776786,0,0,1.1115445714247854,0.5080921645285407,0.6939248621990325,0,0,246.47104120254517,6.424944877624512,0.5383856733653914,0.6012178414728317,0.5526134955805649,0.7201525784088324,0.2789519665234184,0.36559711492159275,0.4997264814271529
E032_v72_control_basic_ce,mit_b2_upernet,8,3.705904774487398e-05,cosine,0.2,512,256,8,0.05,False,0.4,"barren,forest",0.02,ce,0.5,"0.75,1.0,1.25,1.5",0.3,0.7,0.5,0.4,outputs/experiments/E007_segformer_b2_20ep/checkpoints/best_miou.pth,,True,3407,20260809,271828,1.0,3.705904774487398e-05,7.411809548974795e-06,0.0,0.42748635141622454,0.0,0.0,0.0,basic,0.42748635141622454,0.7195127363437892,0.8353193045599205,0,0,1.0896931888098922,0.5095065217182767,0.6961613389577146,0,0,244.45516991615295,6.424944877624512,0.5398618793687354,0.630254704140162,0.5609683353991128,0.7066148026329416,0.24266765916134272,0.37750300911155793,0.5086752622140845
E032_v72_control_basic_ce,mit_b2_upernet,9,2.5000000000000018e-05,cosine,0.2,512,256,8,0.05,False,0.4,"barren,forest",0.02,ce,0.5,"0.75,1.0,1.25,1.5",0.3,0.7,0.5,0.4,outputs/experiments/E007_segformer_b2_20ep/checkpoints/best_miou.pth,,True,3407,20260809,271828,1.0,2.5000000000000018e-05,5.000000000000004e-06,0.0,0.4228541931935719,0.0,0.0,0.0,basic,0.4228541931935719,0.7206736792051969,0.8361745786583943,0,0,1.1775766468504398,0.5036424471436388,0.696629191885382,0,0,245.1678695678711,6.424944877624512,0.5380238136837512,0.6309965273105144,0.5531590766786469,0.7146749197694967,0.21556701551283014,0.3583405671161906,0.5147352099340415
E032_v72_control_basic_ce,mit_b2_upernet,10,1.4644660940672632e-05,cosine,0.2,512,256,8,0.05,False,0.4,"barren,forest",0.02,ce,0.5,"0.75,1.0,1.25,1.5",0.3,0.7,0.5,0.4,outputs/experiments/E007_segformer_b2_20ep/checkpoints/best_miou.pth,,True,3407,20260809,271828,1.0,1.4644660940672632e-05,2.9289321881345265e-06,0.0,0.4252565636048241,0.0,0.0,0.0,basic,0.4252565636048241,0.71914495512277,0.8353332234817311,0,0,1.2545603955761668,0.5019354959714907,0.6994084774360221,0,0,249.37924790382385,6.424944877624512,0.544068652107669,0.6234543457031928,0.5566379023650075,0.7131459865076352,0.18359204893748368,0.3674728709526143,0.5251766652268322
