run,model,epoch,lr,scheduler,backbone_lr_mult,crop_size,context_size,batch_size,min_valid_ratio,rare_crop,rare_crop_prob,rare_classes,rare_min_ratio,mixed_forest_crop,mixed_forest_prob,mixed_forest_min_ratio,mixed_forest_max_ratio,mixed_forest_target_ratio,mixed_forest_retries,loss_name,lovasz_weight,bg_bce_weight,multi_scale_values,dice_weight,fg_aux_bce_weight,fg_aux_dice_weight,aux_loss_weight,init_encoder_from,init_ablation_from,strict_ablation,model_seed,data_seed,train_seed,new_lr_mult,lr_base,lr_backbone,lr_new,train_main_loss,train_fg_bce,train_fg_dice,train_bg_bce,train_aux_ce,augmentation,train_loss,train_miou,train_pixel_acc,train_skipped_all_ignore,train_skipped_nonfinite,val_loss,val_miou,val_pixel_acc,val_skipped_all_ignore,val_skipped_nonfinite,seconds,peak_vram_gb,val_iou_background,val_iou_building,val_iou_road,val_iou_water,val_iou_barren,val_iou_forest,val_iou_agriculture
E097_e037_blv_paper_sigma6,mit_b2_upernet,1,0.0001,cosine,0.2,512,256,8,0.05,True,0.4,"barren,forest",0.02,False,0.2,0.005,0.25,0.05,30,ce_lovasz,0.5,0.0,"0.75,1.0,1.25,1.5",0.3,0.7,0.5,0.4,outputs/experiments/E007_segformer_b2_20ep/checkpoints/best_miou.pth,,True,3407,20260809,271828,1.0,0.0001,2e-05,0.0,0.9423592482294355,0.0,0.0,0.0,0.0,multiscale,0.9423592482294355,0.6169466247435255,0.7614838658847395,0,0,1.3825775695759714,0.4749683895303821,0.6786432527493338,0,0,210.20925092697144,6.4381279945373535,0.5303917688717602,0.5777958749598633,0.5070711961882886,0.7037396441594757,0.16434363783714737,0.36424281142421394,0.47719379327192546
E097_e037_blv_paper_sigma6,mit_b2_upernet,2,9.829629131445342e-05,cosine,0.2,512,256,8,0.05,True,0.4,"barren,forest",0.02,False,0.2,0.005,0.25,0.05,30,ce_lovasz,0.5,0.0,"0.75,1.0,1.25,1.5",0.3,0.7,0.5,0.4,outputs/experiments/E007_segformer_b2_20ep/checkpoints/best_miou.pth,,True,3407,20260809,271828,1.0,9.829629131445342e-05,1.9659258262890683e-05,0.0,0.8435781974641103,0.0,0.0,0.0,0.0,multiscale,0.8435781974641103,0.6318622536088035,0.7740001410024375,0,0,1.2068492912789852,0.5094874368594565,0.6977052993857076,0,0,207.85356783866882,6.4359917640686035,0.5438375255704216,0.5852894071732928,0.5147335671900681,0.715885728924979,0.32255467570128743,0.3656591268324923,0.5184520266236545
E097_e037_blv_paper_sigma6,mit_b2_upernet,3,9.330127018922195e-05,cosine,0.2,512,256,8,0.05,True,0.4,"barren,forest",0.02,False,0.2,0.005,0.25,0.05,30,ce_lovasz,0.5,0.0,"0.75,1.0,1.25,1.5",0.3,0.7,0.5,0.4,outputs/experiments/E007_segformer_b2_20ep/checkpoints/best_miou.pth,,True,3407,20260809,271828,1.0,9.330127018922195e-05,1.866025403784439e-05,0.0,0.7906039047808874,0.0,0.0,0.0,0.0,multiscale,0.7906039047808874,0.6494148945037495,0.787668090501934,0,0,1.3676825855907642,0.5163305454857652,0.6954041314099666,0,0,207.62539148330688,6.4381279945373535,0.5397276803951404,0.625039836001112,0.5426265320216405,0.7150597955893638,0.30269700526464877,0.4018692968957232,0.48729367223272774
E097_e037_blv_paper_sigma6,mit_b2_upernet,4,8.535533905932738e-05,cosine,0.2,512,256,8,0.05,True,0.4,"barren,forest",0.02,False,0.2,0.005,0.25,0.05,30,ce_lovasz,0.5,0.0,"0.75,1.0,1.25,1.5",0.3,0.7,0.5,0.4,outputs/experiments/E007_segformer_b2_20ep/checkpoints/best_miou.pth,,True,3407,20260809,271828,1.0,8.535533905932738e-05,1.7071067811865477e-05,0.0,0.778816096555619,0.0,0.0,0.0,0.0,multiscale,0.778816096555619,0.6552333514154155,0.7892147209468581,0,0,1.1416041714152652,0.5160819418415646,0.7070379748545492,0,0,208.0974018573761,6.4359917640686035,0.5555330821503819,0.6003615816423794,0.5395450010528808,0.7081123684482955,0.29018138058547044,0.37535947489971727,0.5434807041118274
E097_e037_blv_paper_sigma6,mit_b2_upernet,5,7.500000000000001e-05,cosine,0.2,512,256,8,0.05,True,0.4,"barren,forest",0.02,False,0.2,0.005,0.25,0.05,30,ce_lovasz,0.5,0.0,"0.75,1.0,1.25,1.5",0.3,0.7,0.5,0.4,outputs/experiments/E007_segformer_b2_20ep/checkpoints/best_miou.pth,,True,3407,20260809,271828,1.0,7.500000000000001e-05,1.5000000000000004e-05,0.0,0.7524983343623933,0.0,0.0,0.0,0.0,multiscale,0.7524983343623933,0.6649160972344123,0.7963291074085588,0,0,1.1135902752716575,0.5408562457624831,0.721021194442313,0,0,212.9204683303833,6.4381279945373535,0.5617773003344033,0.6533001992284151,0.5684175590063807,0.7147043539587716,0.35793765426340324,0.36399731123235907,0.5658593423136484
E097_e037_blv_paper_sigma6,mit_b2_upernet,6,6.294095225512605e-05,cosine,0.2,512,256,8,0.05,True,0.4,"barren,forest",0.02,False,0.2,0.005,0.25,0.05,30,ce_lovasz,0.5,0.0,"0.75,1.0,1.25,1.5",0.3,0.7,0.5,0.4,outputs/experiments/E007_segformer_b2_20ep/checkpoints/best_miou.pth,,True,3407,20260809,271828,1.0,6.294095225512605e-05,1.258819045102521e-05,0.0,0.7377613130069914,0.0,0.0,0.0,0.0,multiscale,0.7377613130069914,0.6698857721655205,0.8007754687009464,0,0,1.3756081168161054,0.5052913516714249,0.6911158060029575,0,0,216.8263294696808,6.4359917640686035,0.5346202107604313,0.5972043956820831,0.5561968217995874,0.6980052654991098,0.27726905279720176,0.38115775010045616,0.49258596506110475
E097_e037_blv_paper_sigma6,mit_b2_upernet,7,5.000000000000001e-05,cosine,0.2,512,256,8,0.05,True,0.4,"barren,forest",0.02,False,0.2,0.005,0.25,0.05,30,ce_lovasz,0.5,0.0,"0.75,1.0,1.25,1.5",0.3,0.7,0.5,0.4,outputs/experiments/E007_segformer_b2_20ep/checkpoints/best_miou.pth,,True,3407,20260809,271828,1.0,5.000000000000001e-05,1.0000000000000003e-05,0.0,0.7375464237871624,0.0,0.0,0.0,0.0,multiscale,0.7375464237871624,0.667287199455676,0.7993053870660772,0,0,1.2967763024083736,0.5196148226307795,0.7012178864293249,0,0,217.77988600730896,6.4381279945373535,0.5468271139085787,0.6180948633501716,0.5473224853951532,0.7131049378579343,0.32314877430957684,0.38096799354737365,0.5078375900466681
E097_e037_blv_paper_sigma6,mit_b2_upernet,8,3.705904774487398e-05,cosine,0.2,512,256,8,0.05,True,0.4,"barren,forest",0.02,False,0.2,0.005,0.25,0.05,30,ce_lovasz,0.5,0.0,"0.75,1.0,1.25,1.5",0.3,0.7,0.5,0.4,outputs/experiments/E007_segformer_b2_20ep/checkpoints/best_miou.pth,,True,3407,20260809,271828,1.0,3.705904774487398e-05,7.411809548974795e-06,0.0,0.7087184339288681,0.0,0.0,0.0,0.0,multiscale,0.7087184339288681,0.6815142750889256,0.8097299618431726,0,0,1.3355825489217585,0.5084905885520544,0.6962399854948694,0,0,217.38115978240967,6.4359917640686035,0.5406442350622759,0.5929360587967712,0.5463979095214179,0.7190582997272862,0.2696290661766498,0.3841323783381469,0.5066361722418328
E097_e037_blv_paper_sigma6,mit_b2_upernet,9,2.5000000000000018e-05,cosine,0.2,512,256,8,0.05,True,0.4,"barren,forest",0.02,False,0.2,0.005,0.25,0.05,30,ce_lovasz,0.5,0.0,"0.75,1.0,1.25,1.5",0.3,0.7,0.5,0.4,outputs/experiments/E007_segformer_b2_20ep/checkpoints/best_miou.pth,,True,3407,20260809,271828,1.0,2.5000000000000018e-05,5.000000000000004e-06,0.0,0.7030713007563636,0.0,0.0,0.0,0.0,multiscale,0.7030713007563636,0.6844255525635743,0.8098082463304528,0,0,1.3719504247441816,0.5136377293860744,0.6985968849778701,0,0,218.15828895568848,6.4381279945373535,0.5400241879189889,0.6190064603434309,0.5477206018401217,0.7054075824485989,0.2900851800742636,0.38163743553479923,0.5115826575423178
E097_e037_blv_paper_sigma6,mit_b2_upernet,10,1.4644660940672632e-05,cosine,0.2,512,256,8,0.05,True,0.4,"barren,forest",0.02,False,0.2,0.005,0.25,0.05,30,ce_lovasz,0.5,0.0,"0.75,1.0,1.25,1.5",0.3,0.7,0.5,0.4,outputs/experiments/E007_segformer_b2_20ep/checkpoints/best_miou.pth,,True,3407,20260809,271828,1.0,1.4644660940672632e-05,2.9289321881345265e-06,0.0,0.6968741503026751,0.0,0.0,0.0,0.0,multiscale,0.6968741503026751,0.6850092794043751,0.8124159848114302,0,0,1.3713077189819665,0.5125786634052757,0.6992837913684551,0,0,217.69566917419434,6.4359917640686035,0.5443554493312384,0.6092457739348267,0.5572561412657402,0.718446015932624,0.27435935470045203,0.37380755172642005,0.5105803569456276
