E077 | 4+4 domain balance + explicit Urban/Rural MixStyle | no GroupDRO
============================================================================
run       : E077_balance_crossdomain_mixstyle
model     : MiT-B2 + UPerNet-style PPM/FPN (mit_b2_upernet)
device    : cuda
crop      : 512, min_valid_ratio=0.05, retries=10
batch     : train=8, val=8
optimizer : adamw, base_lr=0.0001, wd=0.0001, backbone_mult=0.2, new_mult=1
scheduler : cosine
loss      : ce_lovasz, lovasz_weight=0.5
augment   : multiscale, scales=(0.75, 1.0, 1.25, 1.5)
rare crop : True, prob=0.4, classes=['barren', 'forest'], min_ratio=0.02
mixedforest: False, rural_prob=0.2, range=[0.005,0.25], target=0.05, retries=30
AMP       : True
pretrained: True
strict v7 : True, model_seed=3407, data_seed=20260809, train_seed=271828
============================================================================
train samples=2522, val samples=1669
DG sampler | Urban=1156 Rural=1366 | batches=315 | each=4+4

Loading weights:   0%|                                                                                                        | 0/380 [00:00<?, ?it/s]
Loading weights:  61%|███████████████████████████████████████████████████████▋                                    | 230/380 [00:00<00:00, 1503.67it/s]
Loading weights: 100%|████████████████████████████████████████████████████████████████████████████████████████████| 380/380 [00:00<00:00, 2285.73it/s]
/root/autodl-tmp/LoveDA_Project/train.py:649: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  raw = torch.load(a.init_encoder_from, map_location="cpu")
encoder init: loaded 364 tensors from outputs/experiments/E007_segformer_b2_20ep/checkpoints/best_miou.pth
parameters: total=33.12M, trainable=33.12M
LR groups : base=0.0001, backbone=2e-05

train:   0%|                                                                                                                  | 0/315 [00:00<?, ?it/s]/root/miniconda3/lib/python3.12/site-packages/torch/nn/functional.py:3479: UserWarning: nll_loss2d_forward_out_cuda_template does not have a deterministic implementation, but you set 'torch.use_deterministic_algorithms(True, warn_only=True)'. You can file an issue at https://github.com/pytorch/pytorch/issues to help us prioritize adding deterministic support for this operation. (Triggered internally at ../aten/src/ATen/Context.cpp:91.)
  return torch._C._nn.cross_entropy_loss(
/root/autodl-tmp/LoveDA_Project/losses.py:55: UserWarning: cumsum_cuda_kernel does not have a deterministic implementation, but you set 'torch.use_deterministic_algorithms(True, warn_only=True)'. You can file an issue at https://github.com/pytorch/pytorch/issues to help us prioritize adding deterministic support for this operation. (Triggered internally at ../aten/src/ATen/Context.cpp:91.)
  intersection = gts - gt_sorted.float().cumsum(0)
/root/autodl-tmp/LoveDA_Project/losses.py:56: UserWarning: cumsum_cuda_kernel does not have a deterministic implementation, but you set 'torch.use_deterministic_algorithms(True, warn_only=True)'. You can file an issue at https://github.com/pytorch/pytorch/issues to help us prioritize adding deterministic support for this operation. (Triggered internally at ../aten/src/ATen/Context.cpp:91.)
  union = gts + (1.0 - gt_sorted).float().cumsum(0)
/root/miniconda3/lib/python3.12/site-packages/torch/autograd/graph.py:825: UserWarning: adaptive_avg_pool2d_backward_cuda does not have a deterministic implementation, but you set 'torch.use_deterministic_algorithms(True, warn_only=True)'. You can file an issue at https://github.com/pytorch/pytorch/issues to help us prioritize adding deterministic support for this operation. (Triggered internally at ../aten/src/ATen/Context.cpp:91.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
/root/miniconda3/lib/python3.12/site-packages/torch/autograd/graph.py:825: UserWarning: Flash Attention defaults to a non-deterministic algorithm. To explicitly enable determinism call torch.use_deterministic_algorithms(True, warn_only=False). (Triggered internally at ../aten/src/ATen/native/transformers/cuda/attention_backward.cu:102.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass

train:   0%|                                                                                                     | 0/315 [00:02<?, ?it/s, loss=2.5759]
train:   0%|▎                                                                                            | 1/315 [00:02<13:15,  2.53s/it, loss=2.5759]
train:   0%|▎                                                                                            | 1/315 [00:02<13:15,  2.53s/it, loss=2.0918]
train:   1%|▌                                                                                            | 2/315 [00:02<06:35,  1.26s/it, loss=2.0918]
train:   1%|▌                                                                                            | 2/315 [00:03<06:35,  1.26s/it, loss=1.9730]
train:   1%|▉                                                                                            | 3/315 [00:03<04:25,  1.18it/s, loss=1.9730]
train:   1%|▉                                                                                            | 3/315 [00:03<04:25,  1.18it/s, loss=1.8524]
train:   1%|█▏                                                                                           | 4/315 [00:03<03:23,  1.53it/s, loss=1.8524]
train:   1%|█▏                                                                                           | 4/315 [00:03<03:23,  1.53it/s, loss=1.6858]
train:   2%|█▍                                                                                           | 5/315 [00:03<02:49,  1.82it/s, loss=1.6858]
train:   2%|█▍                                                                                           | 5/315 [00:04<02:49,  1.82it/s, loss=1.6184]
train:   2%|█▊                                                                                           | 6/315 [00:04<02:29,  2.06it/s, loss=1.6184]
train:   2%|█▊                                                                                           | 6/315 [00:04<02:29,  2.06it/s, loss=1.5568]
train:   2%|██                                                                                           | 7/315 [00:04<02:15,  2.27it/s, loss=1.5568]
train:   2%|██                                                                                           | 7/315 [00:05<02:15,  2.27it/s, loss=1.5246]
train:   3%|██▎                                                                                          | 8/315 [00:05<02:06,  2.43it/s, loss=1.5246]
train:   3%|██▎                                                                                          | 8/315 [00:05<02:06,  2.43it/s, loss=1.4738]
train:   3%|██▋                                                                                          | 9/315 [00:05<02:00,  2.54it/s, loss=1.4738]
train:   3%|██▋                                                                                          | 9/315 [00:05<02:00,  2.54it/s, loss=1.4557]
train:   3%|██▉                                                                                         | 10/315 [00:05<01:56,  2.61it/s, loss=1.4557]
train:   3%|██▉                                                                                         | 10/315 [00:06<01:56,  2.61it/s, loss=1.4144]
train:   3%|███▏                                                                                        | 11/315 [00:06<01:53,  2.67it/s, loss=1.4144]
train:   3%|███▏                                                                                        | 11/315 [00:06<01:53,  2.67it/s, loss=1.3734]
train:   4%|███▌                                                                                        | 12/315 [00:06<01:51,  2.71it/s, loss=1.3734]
train:   4%|███▌                                                                                        | 12/315 [00:06<01:51,  2.71it/s, loss=1.3420]
train:   4%|███▊                                                                                        | 13/315 [00:06<01:49,  2.75it/s, loss=1.3420]
train:   4%|███▊                                                                                        | 13/315 [00:07<01:49,  2.75it/s, loss=1.3248]
train:   4%|████                                                                                        | 14/315 [00:07<01:47,  2.79it/s, loss=1.3248]
train:   4%|████                                                                                        | 14/315 [00:07<01:47,  2.79it/s, loss=1.3176]
train:   5%|████▍                                                                                       | 15/315 [00:07<01:47,  2.79it/s, loss=1.3176]
train:   5%|████▍                                                                                       | 15/315 [00:07<01:47,  2.79it/s, loss=1.3059]
train:   5%|████▋                                                                                       | 16/315 [00:07<01:46,  2.80it/s, loss=1.3059]
train:   5%|████▋                                                                                       | 16/315 [00:08<01:46,  2.80it/s, loss=1.3273]
train:   5%|████▉                                                                                       | 17/315 [00:08<01:46,  2.81it/s, loss=1.3273]
train:   5%|████▉                                                                                       | 17/315 [00:08<01:46,  2.81it/s, loss=1.2972]
train:   6%|█████▎                                                                                      | 18/315 [00:08<01:45,  2.82it/s, loss=1.2972]
train:   6%|█████▎                                                                                      | 18/315 [00:08<01:45,  2.82it/s, loss=1.2686]
train:   6%|█████▌                                                                                      | 19/315 [00:08<01:45,  2.82it/s, loss=1.2686]
train:   6%|█████▌                                                                                      | 19/315 [00:09<01:45,  2.82it/s, loss=1.2686]
train:   6%|█████▊                                                                                      | 20/315 [00:09<01:44,  2.83it/s, loss=1.2686]
train:   6%|█████▊                                                                                      | 20/315 [00:09<01:44,  2.83it/s, loss=1.2480]
train:   7%|██████▏                                                                                     | 21/315 [00:09<01:43,  2.84it/s, loss=1.2480]
train:   7%|██████▏                                                                                     | 21/315 [00:09<01:43,  2.84it/s, loss=1.2266]
train:   7%|██████▍                                                                                     | 22/315 [00:09<01:42,  2.85it/s, loss=1.2266]
train:   7%|██████▍                                                                                     | 22/315 [00:10<01:42,  2.85it/s, loss=1.2195]
train:   7%|██████▋                                                                                     | 23/315 [00:10<01:42,  2.84it/s, loss=1.2195]
train:   7%|██████▋                                                                                     | 23/315 [00:10<01:42,  2.84it/s, loss=1.2140]
train:   8%|███████                                                                                     | 24/315 [00:10<01:42,  2.84it/s, loss=1.2140]
train:   8%|███████                                                                                     | 24/315 [00:11<01:42,  2.84it/s, loss=1.2044]
train:   8%|███████▎                                                                                    | 25/315 [00:11<01:41,  2.84it/s, loss=1.2044]
train:   8%|███████▎                                                                                    | 25/315 [00:11<01:41,  2.84it/s, loss=1.2050]
train:   8%|███████▌                                                                                    | 26/315 [00:11<01:41,  2.84it/s, loss=1.2050]
train:   8%|███████▌                                                                                    | 26/315 [00:11<01:41,  2.84it/s, loss=1.1962]
train:   9%|███████▉                                                                                    | 27/315 [00:11<01:41,  2.83it/s, loss=1.1962]
train:   9%|███████▉                                                                                    | 27/315 [00:12<01:41,  2.83it/s, loss=1.2013]
train:   9%|████████▏                                                                                   | 28/315 [00:12<01:41,  2.82it/s, loss=1.2013]
train:   9%|████████▏                                                                                   | 28/315 [00:12<01:41,  2.82it/s, loss=1.2089]
train:   9%|████████▍                                                                                   | 29/315 [00:12<01:40,  2.84it/s, loss=1.2089]
train:   9%|████████▍                                                                                   | 29/315 [00:12<01:40,  2.84it/s, loss=1.2011]
train:  10%|████████▊                                                                                   | 30/315 [00:12<01:40,  2.85it/s, loss=1.2011]
train:  10%|████████▊                                                                                   | 30/315 [00:13<01:40,  2.85it/s, loss=1.1979]
train:  10%|█████████                                                                                   | 31/315 [00:13<01:39,  2.84it/s, loss=1.1979]
train:  10%|█████████                                                                                   | 31/315 [00:13<01:39,  2.84it/s, loss=1.1837]
train:  10%|█████████▎                                                                                  | 32/315 [00:13<01:39,  2.83it/s, loss=1.1837]
train:  10%|█████████▎                                                                                  | 32/315 [00:13<01:39,  2.83it/s, loss=1.1799]
train:  10%|█████████▋                                                                                  | 33/315 [00:13<01:39,  2.83it/s, loss=1.1799]
train:  10%|█████████▋                                                                                  | 33/315 [00:14<01:39,  2.83it/s, loss=1.1775]
train:  11%|█████████▉                                                                                  | 34/315 [00:14<01:39,  2.83it/s, loss=1.1775]
train:  11%|█████████▉                                                                                  | 34/315 [00:14<01:39,  2.83it/s, loss=1.1723]
train:  11%|██████████▏                                                                                 | 35/315 [00:14<01:39,  2.83it/s, loss=1.1723]
train:  11%|██████████▏                                                                                 | 35/315 [00:14<01:39,  2.83it/s, loss=1.1678]
train:  11%|██████████▌                                                                                 | 36/315 [00:14<01:38,  2.82it/s, loss=1.1678]
train:  11%|██████████▌                                                                                 | 36/315 [00:15<01:38,  2.82it/s, loss=1.1606]
train:  12%|██████████▊                                                                                 | 37/315 [00:15<01:38,  2.83it/s, loss=1.1606]
train:  12%|██████████▊                                                                                 | 37/315 [00:15<01:38,  2.83it/s, loss=1.1536]
train:  12%|███████████                                                                                 | 38/315 [00:15<01:37,  2.84it/s, loss=1.1536]
train:  12%|███████████                                                                                 | 38/315 [00:15<01:37,  2.84it/s, loss=1.1488]
train:  12%|███████████▍                                                                                | 39/315 [00:15<01:37,  2.83it/s, loss=1.1488]
train:  12%|███████████▍                                                                                | 39/315 [00:16<01:37,  2.83it/s, loss=1.1409]
train:  13%|███████████▋                                                                                | 40/315 [00:16<01:36,  2.84it/s, loss=1.1409]
train:  13%|███████████▋                                                                                | 40/315 [00:16<01:36,  2.84it/s, loss=1.1462]
train:  13%|███████████▉                                                                                | 41/315 [00:16<01:36,  2.83it/s, loss=1.1462]
train:  13%|███████████▉                                                                                | 41/315 [00:17<01:36,  2.83it/s, loss=1.1411]
train:  13%|████████████▎                                                                               | 42/315 [00:17<01:36,  2.82it/s, loss=1.1411]
train:  13%|████████████▎                                                                               | 42/315 [00:17<01:36,  2.82it/s, loss=1.1348]
train:  14%|████████████▌                                                                               | 43/315 [00:17<01:36,  2.83it/s, loss=1.1348]
train:  14%|████████████▌                                                                               | 43/315 [00:17<01:36,  2.83it/s, loss=1.1301]
train:  14%|████████████▊                                                                               | 44/315 [00:17<01:35,  2.83it/s, loss=1.1301]
train:  14%|████████████▊                                                                               | 44/315 [00:18<01:35,  2.83it/s, loss=1.1304]
train:  14%|█████████████▏                                                                              | 45/315 [00:18<01:35,  2.83it/s, loss=1.1304]
train:  14%|█████████████▏                                                                              | 45/315 [00:18<01:35,  2.83it/s, loss=1.1232]
train:  15%|█████████████▍                                                                              | 46/315 [00:18<01:34,  2.84it/s, loss=1.1232]
train:  15%|█████████████▍                                                                              | 46/315 [00:18<01:34,  2.84it/s, loss=1.1194]
train:  15%|█████████████▋                                                                              | 47/315 [00:18<01:34,  2.83it/s, loss=1.1194]
train:  15%|█████████████▋                                                                              | 47/315 [00:19<01:34,  2.83it/s, loss=1.1116]
train:  15%|██████████████                                                                              | 48/315 [00:19<01:34,  2.83it/s, loss=1.1116]
train:  15%|██████████████                                                                              | 48/315 [00:19<01:34,  2.83it/s, loss=1.1110]
train:  16%|██████████████▎                                                                             | 49/315 [00:19<01:33,  2.83it/s, loss=1.1110]
train:  16%|██████████████▎                                                                             | 49/315 [00:19<01:33,  2.83it/s, loss=1.1055]
train:  16%|██████████████▌                                                                             | 50/315 [00:19<01:33,  2.83it/s, loss=1.1055]
train:  16%|██████████████▌                                                                             | 50/315 [00:20<01:33,  2.83it/s, loss=1.0997]
train:  16%|██████████████▉                                                                             | 51/315 [00:20<01:33,  2.82it/s, loss=1.0997]
train:  16%|██████████████▉                                                                             | 51/315 [00:20<01:33,  2.82it/s, loss=1.0971]
train:  17%|███████████████▏                                                                            | 52/315 [00:20<01:33,  2.82it/s, loss=1.0971]
train:  17%|███████████████▏                                                                            | 52/315 [00:20<01:33,  2.82it/s, loss=1.0948]
train:  17%|███████████████▍                                                                            | 53/315 [00:20<01:32,  2.82it/s, loss=1.0948]
train:  17%|███████████████▍                                                                            | 53/315 [00:21<01:32,  2.82it/s, loss=1.0889]
train:  17%|███████████████▊                                                                            | 54/315 [00:21<01:32,  2.83it/s, loss=1.0889]
train:  17%|███████████████▊                                                                            | 54/315 [00:21<01:32,  2.83it/s, loss=1.0891]
train:  17%|████████████████                                                                            | 55/315 [00:21<01:31,  2.84it/s, loss=1.0891]
train:  17%|████████████████                                                                            | 55/315 [00:21<01:31,  2.84it/s, loss=1.0853]
train:  18%|████████████████▎                                                                           | 56/315 [00:21<01:31,  2.83it/s, loss=1.0853]
train:  18%|████████████████▎                                                                           | 56/315 [00:22<01:31,  2.83it/s, loss=1.0784]
train:  18%|████████████████▋                                                                           | 57/315 [00:22<01:31,  2.82it/s, loss=1.0784]
train:  18%|████████████████▋                                                                           | 57/315 [00:22<01:31,  2.82it/s, loss=1.0722]
train:  18%|████████████████▉                                                                           | 58/315 [00:22<01:31,  2.82it/s, loss=1.0722]
train:  18%|████████████████▉                                                                           | 58/315 [00:23<01:31,  2.82it/s, loss=1.0691]
train:  19%|█████████████████▏                                                                          | 59/315 [00:23<01:30,  2.82it/s, loss=1.0691]
train:  19%|█████████████████▏                                                                          | 59/315 [00:23<01:30,  2.82it/s, loss=1.0685]
train:  19%|█████████████████▌                                                                          | 60/315 [00:23<01:30,  2.81it/s, loss=1.0685]
train:  19%|█████████████████▌                                                                          | 60/315 [00:23<01:30,  2.81it/s, loss=1.0636]
train:  19%|█████████████████▊                                                                          | 61/315 [00:23<01:30,  2.80it/s, loss=1.0636]
train:  19%|█████████████████▊                                                                          | 61/315 [00:24<01:30,  2.80it/s, loss=1.0612]
train:  20%|██████████████████                                                                          | 62/315 [00:24<01:31,  2.77it/s, loss=1.0612]
train:  20%|██████████████████                                                                          | 62/315 [00:24<01:31,  2.77it/s, loss=1.0587]
train:  20%|██████████████████▍                                                                         | 63/315 [00:24<01:30,  2.77it/s, loss=1.0587]
train:  20%|██████████████████▍                                                                         | 63/315 [00:24<01:30,  2.77it/s, loss=1.0507]
train:  20%|██████████████████▋                                                                         | 64/315 [00:24<01:30,  2.76it/s, loss=1.0507]
train:  20%|██████████████████▋                                                                         | 64/315 [00:25<01:30,  2.76it/s, loss=1.0457]
train:  21%|██████████████████▉                                                                         | 65/315 [00:25<01:29,  2.78it/s, loss=1.0457]
train:  21%|██████████████████▉                                                                         | 65/315 [00:25<01:29,  2.78it/s, loss=1.0415]
train:  21%|███████████████████▎                                                                        | 66/315 [00:25<01:29,  2.79it/s, loss=1.0415]
train:  21%|███████████████████▎                                                                        | 66/315 [00:25<01:29,  2.79it/s, loss=1.0379]
train:  21%|███████████████████▌                                                                        | 67/315 [00:25<01:28,  2.81it/s, loss=1.0379]
train:  21%|███████████████████▌                                                                        | 67/315 [00:26<01:28,  2.81it/s, loss=1.0363]
train:  22%|███████████████████▊                                                                        | 68/315 [00:26<01:27,  2.82it/s, loss=1.0363]
train:  22%|███████████████████▊                                                                        | 68/315 [00:26<01:27,  2.82it/s, loss=1.0323]
train:  22%|████████████████████▏                                                                       | 69/315 [00:26<01:27,  2.81it/s, loss=1.0323]
train:  22%|████████████████████▏                                                                       | 69/315 [00:27<01:27,  2.81it/s, loss=1.0291]
train:  22%|████████████████████▍                                                                       | 70/315 [00:27<01:27,  2.81it/s, loss=1.0291]
train:  22%|████████████████████▍                                                                       | 70/315 [00:27<01:27,  2.81it/s, loss=1.0232]
train:  23%|████████████████████▋                                                                       | 71/315 [00:27<01:26,  2.83it/s, loss=1.0232]
train:  23%|████████████████████▋                                                                       | 71/315 [00:27<01:26,  2.83it/s, loss=1.0216]
train:  23%|█████████████████████                                                                       | 72/315 [00:27<01:25,  2.83it/s, loss=1.0216]
train:  23%|█████████████████████                                                                       | 72/315 [00:28<01:25,  2.83it/s, loss=1.0208]
train:  23%|█████████████████████▎                                                                      | 73/315 [00:28<01:25,  2.82it/s, loss=1.0208]
train:  23%|█████████████████████▎                                                                      | 73/315 [00:28<01:25,  2.82it/s, loss=1.0170]
train:  23%|█████████████████████▌                                                                      | 74/315 [00:28<01:25,  2.83it/s, loss=1.0170]
train:  23%|█████████████████████▌                                                                      | 74/315 [00:28<01:25,  2.83it/s, loss=1.0135]
train:  24%|█████████████████████▉                                                                      | 75/315 [00:28<01:25,  2.81it/s, loss=1.0135]
train:  24%|█████████████████████▉                                                                      | 75/315 [00:29<01:25,  2.81it/s, loss=1.0137]
train:  24%|██████████████████████▏                                                                     | 76/315 [00:29<01:25,  2.79it/s, loss=1.0137]
train:  24%|██████████████████████▏                                                                     | 76/315 [00:29<01:25,  2.79it/s, loss=1.0107]
train:  24%|██████████████████████▍                                                                     | 77/315 [00:29<01:25,  2.80it/s, loss=1.0107]
train:  24%|██████████████████████▍                                                                     | 77/315 [00:29<01:25,  2.80it/s, loss=1.0091]
train:  25%|██████████████████████▊                                                                     | 78/315 [00:29<01:24,  2.80it/s, loss=1.0091]
train:  25%|██████████████████████▊                                                                     | 78/315 [00:30<01:24,  2.80it/s, loss=1.0058]
train:  25%|███████████████████████                                                                     | 79/315 [00:30<01:24,  2.80it/s, loss=1.0058]
train:  25%|███████████████████████                                                                     | 79/315 [00:30<01:24,  2.80it/s, loss=1.0034]
train:  25%|███████████████████████▎                                                                    | 80/315 [00:30<01:23,  2.81it/s, loss=1.0034]
train:  25%|███████████████████████▎                                                                    | 80/315 [00:30<01:23,  2.81it/s, loss=1.0051]
train:  26%|███████████████████████▋                                                                    | 81/315 [00:30<01:23,  2.81it/s, loss=1.0051]
train:  26%|███████████████████████▋                                                                    | 81/315 [00:31<01:23,  2.81it/s, loss=1.0048]
train:  26%|███████████████████████▉                                                                    | 82/315 [00:31<01:22,  2.81it/s, loss=1.0048]
train:  26%|███████████████████████▉                                                                    | 82/315 [00:31<01:22,  2.81it/s, loss=1.0049]
train:  26%|████████████████████████▏                                                                   | 83/315 [00:31<01:22,  2.81it/s, loss=1.0049]
train:  26%|████████████████████████▏                                                                   | 83/315 [00:31<01:22,  2.81it/s, loss=1.0042]
train:  27%|████████████████████████▌                                                                   | 84/315 [00:31<01:22,  2.81it/s, loss=1.0042]
train:  27%|████████████████████████▌                                                                   | 84/315 [00:32<01:22,  2.81it/s, loss=1.0001]
train:  27%|████████████████████████▊                                                                   | 85/315 [00:32<01:22,  2.80it/s, loss=1.0001]
train:  27%|████████████████████████▊                                                                   | 85/315 [00:32<01:22,  2.80it/s, loss=1.0038]
train:  27%|█████████████████████████                                                                   | 86/315 [00:32<01:21,  2.81it/s, loss=1.0038]
train:  27%|█████████████████████████                                                                   | 86/315 [00:33<01:21,  2.81it/s, loss=1.0058]
train:  28%|█████████████████████████▍                                                                  | 87/315 [00:33<01:21,  2.81it/s, loss=1.0058]
train:  28%|█████████████████████████▍                                                                  | 87/315 [00:33<01:21,  2.81it/s, loss=1.0041]
train:  28%|█████████████████████████▋                                                                  | 88/315 [00:33<01:20,  2.81it/s, loss=1.0041]
train:  28%|█████████████████████████▋                                                                  | 88/315 [00:33<01:20,  2.81it/s, loss=1.0061]
train:  28%|█████████████████████████▉                                                                  | 89/315 [00:33<01:20,  2.81it/s, loss=1.0061]
train:  28%|█████████████████████████▉                                                                  | 89/315 [00:34<01:20,  2.81it/s, loss=1.0067]
train:  29%|██████████████████████████▎                                                                 | 90/315 [00:34<01:20,  2.81it/s, loss=1.0067]
train:  29%|██████████████████████████▎                                                                 | 90/315 [00:34<01:20,  2.81it/s, loss=1.0074]
train:  29%|██████████████████████████▌                                                                 | 91/315 [00:34<01:19,  2.82it/s, loss=1.0074]
train:  29%|██████████████████████████▌                                                                 | 91/315 [00:34<01:19,  2.82it/s, loss=1.0062]
train:  29%|██████████████████████████▊                                                                 | 92/315 [00:34<01:18,  2.82it/s, loss=1.0062]
train:  29%|██████████████████████████▊                                                                 | 92/315 [00:35<01:18,  2.82it/s, loss=1.0021]
train:  30%|███████████████████████████▏                                                                | 93/315 [00:35<01:18,  2.84it/s, loss=1.0021]
train:  30%|███████████████████████████▏                                                                | 93/315 [00:35<01:18,  2.84it/s, loss=1.0015]
train:  30%|███████████████████████████▍                                                                | 94/315 [00:35<01:17,  2.86it/s, loss=1.0015]
train:  30%|███████████████████████████▍                                                                | 94/315 [00:35<01:17,  2.86it/s, loss=0.9985]
train:  30%|███████████████████████████▋                                                                | 95/315 [00:35<01:16,  2.86it/s, loss=0.9985]
train:  30%|███████████████████████████▋                                                                | 95/315 [00:36<01:16,  2.86it/s, loss=0.9977]
train:  30%|████████████████████████████                                                                | 96/315 [00:36<01:16,  2.85it/s, loss=0.9977]
train:  30%|████████████████████████████                                                                | 96/315 [00:36<01:16,  2.85it/s, loss=0.9949]
train:  31%|████████████████████████████▎                                                               | 97/315 [00:36<01:16,  2.84it/s, loss=0.9949]
train:  31%|████████████████████████████▎                                                               | 97/315 [00:36<01:16,  2.84it/s, loss=0.9934]
train:  31%|████████████████████████████▌                                                               | 98/315 [00:36<01:16,  2.83it/s, loss=0.9934]
train:  31%|████████████████████████████▌                                                               | 98/315 [00:37<01:16,  2.83it/s, loss=0.9910]
train:  31%|████████████████████████████▉                                                               | 99/315 [00:37<01:16,  2.83it/s, loss=0.9910]
train:  31%|████████████████████████████▉                                                               | 99/315 [00:37<01:16,  2.83it/s, loss=0.9893]
train:  32%|████████████████████████████▉                                                              | 100/315 [00:37<01:16,  2.83it/s, loss=0.9893]
train:  32%|████████████████████████████▉                                                              | 100/315 [00:37<01:16,  2.83it/s, loss=0.9865]
train:  32%|█████████████████████████████▏                                                             | 101/315 [00:37<01:15,  2.82it/s, loss=0.9865]
train:  32%|█████████████████████████████▏                                                             | 101/315 [00:38<01:15,  2.82it/s, loss=0.9835]
train:  32%|█████████████████████████████▍                                                             | 102/315 [00:38<01:15,  2.83it/s, loss=0.9835]
train:  32%|█████████████████████████████▍                                                             | 102/315 [00:38<01:15,  2.83it/s, loss=0.9821]
train:  33%|█████████████████████████████▊                                                             | 103/315 [00:38<01:15,  2.82it/s, loss=0.9821]
train:  33%|█████████████████████████████▊                                                             | 103/315 [00:39<01:15,  2.82it/s, loss=0.9789]
train:  33%|██████████████████████████████                                                             | 104/315 [00:39<01:14,  2.83it/s, loss=0.9789]
