E087 | E037 + semantic boundary loss | weight=.10 | no inference module
============================================================================
run       : E087_e037_boundary_aux
model     : MiT-B2 + UPerNet-style PPM/FPN (mit_b2_upernet)
device    : cuda
crop      : 512, min_valid_ratio=0.05, retries=10
batch     : train=8, val=8
optimizer : adamw, base_lr=0.0001, wd=0.0001, backbone_mult=0.2, new_mult=1
scheduler : cosine
loss      : ce_lovasz, lovasz_weight=0.5
augment   : multiscale, scales=(0.75, 1.0, 1.25, 1.5)
rare crop : True, prob=0.4, classes=['barren', 'forest'], min_ratio=0.02
mixedforest: False, rural_prob=0.2, range=[0.005,0.25], target=0.05, retries=30
AMP       : True
pretrained: True
strict v7 : True, model_seed=3407, data_seed=20260809, train_seed=271828
============================================================================
train samples=2522, val samples=1669

Loading weights:   0%|                                                                                                        | 0/380 [00:00<?, ?it/s]
Loading weights:  24%|██████████████████████▊                                                                       | 92/380 [00:00<00:00, 527.74it/s]
Loading weights: 100%|████████████████████████████████████████████████████████████████████████████████████████████| 380/380 [00:00<00:00, 1846.54it/s]
/root/autodl-tmp/LoveDA_Project/train.py:649: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  raw = torch.load(a.init_encoder_from, map_location="cpu")
encoder init: loaded 364 tensors from outputs/experiments/E007_segformer_b2_20ep/checkpoints/best_miou.pth
parameters: total=33.12M, trainable=33.12M
LR groups : base=0.0001, backbone=2e-05

train:   0%|                                                                                                                  | 0/315 [00:00<?, ?it/s]/root/miniconda3/lib/python3.12/site-packages/torch/nn/functional.py:3479: UserWarning: nll_loss2d_forward_out_cuda_template does not have a deterministic implementation, but you set 'torch.use_deterministic_algorithms(True, warn_only=True)'. You can file an issue at https://github.com/pytorch/pytorch/issues to help us prioritize adding deterministic support for this operation. (Triggered internally at ../aten/src/ATen/Context.cpp:91.)
  return torch._C._nn.cross_entropy_loss(
/root/autodl-tmp/LoveDA_Project/losses.py:55: UserWarning: cumsum_cuda_kernel does not have a deterministic implementation, but you set 'torch.use_deterministic_algorithms(True, warn_only=True)'. You can file an issue at https://github.com/pytorch/pytorch/issues to help us prioritize adding deterministic support for this operation. (Triggered internally at ../aten/src/ATen/Context.cpp:91.)
  intersection = gts - gt_sorted.float().cumsum(0)
/root/autodl-tmp/LoveDA_Project/losses.py:56: UserWarning: cumsum_cuda_kernel does not have a deterministic implementation, but you set 'torch.use_deterministic_algorithms(True, warn_only=True)'. You can file an issue at https://github.com/pytorch/pytorch/issues to help us prioritize adding deterministic support for this operation. (Triggered internally at ../aten/src/ATen/Context.cpp:91.)
  union = gts + (1.0 - gt_sorted).float().cumsum(0)
/root/miniconda3/lib/python3.12/site-packages/torch/autograd/graph.py:825: UserWarning: adaptive_avg_pool2d_backward_cuda does not have a deterministic implementation, but you set 'torch.use_deterministic_algorithms(True, warn_only=True)'. You can file an issue at https://github.com/pytorch/pytorch/issues to help us prioritize adding deterministic support for this operation. (Triggered internally at ../aten/src/ATen/Context.cpp:91.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
/root/miniconda3/lib/python3.12/site-packages/torch/autograd/graph.py:825: UserWarning: Flash Attention defaults to a non-deterministic algorithm. To explicitly enable determinism call torch.use_deterministic_algorithms(True, warn_only=False). (Triggered internally at ../aten/src/ATen/native/transformers/cuda/attention_backward.cu:102.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass

train:   0%|                                                                                    | 0/315 [00:02<?, ?it/s, Boundary=1.0011, loss=2.5574]
train:   0%|▏                                                                           | 1/315 [00:02<13:50,  2.64s/it, Boundary=1.0011, loss=2.5574]
train:   0%|▏                                                                           | 1/315 [00:03<13:50,  2.64s/it, Boundary=0.8929, loss=2.1821]
train:   1%|▍                                                                           | 2/315 [00:03<06:49,  1.31s/it, Boundary=0.8929, loss=2.1821]
train:   1%|▍                                                                           | 2/315 [00:03<06:49,  1.31s/it, Boundary=0.8296, loss=1.8480]
train:   1%|▋                                                                           | 3/315 [00:03<04:34,  1.14it/s, Boundary=0.8296, loss=1.8480]
train:   1%|▋                                                                           | 3/315 [00:03<04:34,  1.14it/s, Boundary=0.8243, loss=1.7709]
train:   1%|▉                                                                           | 4/315 [00:03<03:30,  1.48it/s, Boundary=0.8243, loss=1.7709]
train:   1%|▉                                                                           | 4/315 [00:04<03:30,  1.48it/s, Boundary=0.8150, loss=1.7580]
train:   2%|█▏                                                                          | 5/315 [00:04<02:56,  1.76it/s, Boundary=0.8150, loss=1.7580]
train:   2%|█▏                                                                          | 5/315 [00:04<02:56,  1.76it/s, Boundary=0.7834, loss=1.6071]
train:   2%|█▍                                                                          | 6/315 [00:04<02:36,  1.98it/s, Boundary=0.7834, loss=1.6071]
train:   2%|█▍                                                                          | 6/315 [00:04<02:36,  1.98it/s, Boundary=0.7679, loss=1.5497]
train:   2%|█▋                                                                          | 7/315 [00:04<02:22,  2.16it/s, Boundary=0.7679, loss=1.5497]
train:   2%|█▋                                                                          | 7/315 [00:05<02:22,  2.16it/s, Boundary=0.7671, loss=1.5416]
train:   3%|█▉                                                                          | 8/315 [00:05<02:12,  2.31it/s, Boundary=0.7671, loss=1.5416]
train:   3%|█▉                                                                          | 8/315 [00:05<02:12,  2.31it/s, Boundary=0.7595, loss=1.4941]
train:   3%|██▏                                                                         | 9/315 [00:05<02:06,  2.41it/s, Boundary=0.7595, loss=1.4941]
train:   3%|██▏                                                                         | 9/315 [00:06<02:06,  2.41it/s, Boundary=0.7518, loss=1.4422]
train:   3%|██▍                                                                        | 10/315 [00:06<02:02,  2.48it/s, Boundary=0.7518, loss=1.4422]
train:   3%|██▍                                                                        | 10/315 [00:06<02:02,  2.48it/s, Boundary=0.7543, loss=1.4384]
train:   3%|██▌                                                                        | 11/315 [00:06<01:59,  2.55it/s, Boundary=0.7543, loss=1.4384]
train:   3%|██▌                                                                        | 11/315 [00:06<01:59,  2.55it/s, Boundary=0.7523, loss=1.4288]
train:   4%|██▊                                                                        | 12/315 [00:06<01:56,  2.59it/s, Boundary=0.7523, loss=1.4288]
train:   4%|██▊                                                                        | 12/315 [00:07<01:56,  2.59it/s, Boundary=0.7495, loss=1.4085]
train:   4%|███                                                                        | 13/315 [00:07<01:55,  2.63it/s, Boundary=0.7495, loss=1.4085]
train:   4%|███                                                                        | 13/315 [00:07<01:55,  2.63it/s, Boundary=0.7506, loss=1.3933]
train:   4%|███▎                                                                       | 14/315 [00:07<01:53,  2.65it/s, Boundary=0.7506, loss=1.3933]
train:   4%|███▎                                                                       | 14/315 [00:07<01:53,  2.65it/s, Boundary=0.7462, loss=1.3985]
train:   5%|███▌                                                                       | 15/315 [00:07<01:52,  2.66it/s, Boundary=0.7462, loss=1.3985]
train:   5%|███▌                                                                       | 15/315 [00:08<01:52,  2.66it/s, Boundary=0.7459, loss=1.4118]
train:   5%|███▊                                                                       | 16/315 [00:08<01:51,  2.67it/s, Boundary=0.7459, loss=1.4118]
train:   5%|███▊                                                                       | 16/315 [00:08<01:51,  2.67it/s, Boundary=0.7390, loss=1.3856]
train:   5%|████                                                                       | 17/315 [00:08<01:50,  2.69it/s, Boundary=0.7390, loss=1.3856]
train:   5%|████                                                                       | 17/315 [00:08<01:50,  2.69it/s, Boundary=0.7410, loss=1.3548]
train:   6%|████▎                                                                      | 18/315 [00:08<01:49,  2.70it/s, Boundary=0.7410, loss=1.3548]
train:   6%|████▎                                                                      | 18/315 [00:09<01:49,  2.70it/s, Boundary=0.7345, loss=1.3475]
train:   6%|████▌                                                                      | 19/315 [00:09<01:49,  2.70it/s, Boundary=0.7345, loss=1.3475]
train:   6%|████▌                                                                      | 19/315 [00:09<01:49,  2.70it/s, Boundary=0.7298, loss=1.3320]
train:   6%|████▊                                                                      | 20/315 [00:09<01:49,  2.71it/s, Boundary=0.7298, loss=1.3320]
train:   6%|████▊                                                                      | 20/315 [00:10<01:49,  2.71it/s, Boundary=0.7239, loss=1.3033]
train:   7%|█████                                                                      | 21/315 [00:10<01:48,  2.71it/s, Boundary=0.7239, loss=1.3033]
train:   7%|█████                                                                      | 21/315 [00:10<01:48,  2.71it/s, Boundary=0.7261, loss=1.3014]
train:   7%|█████▏                                                                     | 22/315 [00:10<01:48,  2.70it/s, Boundary=0.7261, loss=1.3014]
train:   7%|█████▏                                                                     | 22/315 [00:10<01:48,  2.70it/s, Boundary=0.7256, loss=1.3109]
train:   7%|█████▍                                                                     | 23/315 [00:10<01:49,  2.66it/s, Boundary=0.7256, loss=1.3109]
train:   7%|█████▍                                                                     | 23/315 [00:11<01:49,  2.66it/s, Boundary=0.7246, loss=1.3032]
train:   8%|█████▋                                                                     | 24/315 [00:11<01:48,  2.68it/s, Boundary=0.7246, loss=1.3032]
train:   8%|█████▋                                                                     | 24/315 [00:11<01:48,  2.68it/s, Boundary=0.7276, loss=1.2988]
train:   8%|█████▉                                                                     | 25/315 [00:11<01:48,  2.68it/s, Boundary=0.7276, loss=1.2988]
train:   8%|█████▉                                                                     | 25/315 [00:11<01:48,  2.68it/s, Boundary=0.7256, loss=1.3121]
train:   8%|██████▏                                                                    | 26/315 [00:11<01:47,  2.68it/s, Boundary=0.7256, loss=1.3121]
train:   8%|██████▏                                                                    | 26/315 [00:12<01:47,  2.68it/s, Boundary=0.7209, loss=1.2978]
train:   9%|██████▍                                                                    | 27/315 [00:12<01:47,  2.69it/s, Boundary=0.7209, loss=1.2978]
train:   9%|██████▍                                                                    | 27/315 [00:12<01:47,  2.69it/s, Boundary=0.7174, loss=1.2870]
train:   9%|██████▋                                                                    | 28/315 [00:12<01:46,  2.69it/s, Boundary=0.7174, loss=1.2870]
train:   9%|██████▋                                                                    | 28/315 [00:13<01:46,  2.69it/s, Boundary=0.7184, loss=1.2888]
train:   9%|██████▉                                                                    | 29/315 [00:13<01:46,  2.68it/s, Boundary=0.7184, loss=1.2888]
train:   9%|██████▉                                                                    | 29/315 [00:13<01:46,  2.68it/s, Boundary=0.7189, loss=1.2896]
train:  10%|███████▏                                                                   | 30/315 [00:13<01:46,  2.68it/s, Boundary=0.7189, loss=1.2896]
train:  10%|███████▏                                                                   | 30/315 [00:13<01:46,  2.68it/s, Boundary=0.7156, loss=1.2831]
train:  10%|███████▍                                                                   | 31/315 [00:13<01:45,  2.68it/s, Boundary=0.7156, loss=1.2831]
train:  10%|███████▍                                                                   | 31/315 [00:14<01:45,  2.68it/s, Boundary=0.7193, loss=1.2848]
train:  10%|███████▌                                                                   | 32/315 [00:14<01:45,  2.68it/s, Boundary=0.7193, loss=1.2848]
train:  10%|███████▌                                                                   | 32/315 [00:14<01:45,  2.68it/s, Boundary=0.7165, loss=1.2761]
train:  10%|███████▊                                                                   | 33/315 [00:14<01:45,  2.68it/s, Boundary=0.7165, loss=1.2761]
train:  10%|███████▊                                                                   | 33/315 [00:14<01:45,  2.68it/s, Boundary=0.7141, loss=1.2641]
train:  11%|████████                                                                   | 34/315 [00:14<01:44,  2.69it/s, Boundary=0.7141, loss=1.2641]
train:  11%|████████                                                                   | 34/315 [00:15<01:44,  2.69it/s, Boundary=0.7112, loss=1.2571]
train:  11%|████████▎                                                                  | 35/315 [00:15<01:44,  2.69it/s, Boundary=0.7112, loss=1.2571]
train:  11%|████████▎                                                                  | 35/315 [00:15<01:44,  2.69it/s, Boundary=0.7096, loss=1.2548]
train:  11%|████████▌                                                                  | 36/315 [00:15<01:43,  2.69it/s, Boundary=0.7096, loss=1.2548]
train:  11%|████████▌                                                                  | 36/315 [00:16<01:43,  2.69it/s, Boundary=0.7097, loss=1.2454]
train:  12%|████████▊                                                                  | 37/315 [00:16<01:43,  2.69it/s, Boundary=0.7097, loss=1.2454]
train:  12%|████████▊                                                                  | 37/315 [00:16<01:43,  2.69it/s, Boundary=0.7106, loss=1.2398]
train:  12%|█████████                                                                  | 38/315 [00:16<01:42,  2.69it/s, Boundary=0.7106, loss=1.2398]
train:  12%|█████████                                                                  | 38/315 [00:16<01:42,  2.69it/s, Boundary=0.7095, loss=1.2391]
train:  12%|█████████▎                                                                 | 39/315 [00:16<01:42,  2.70it/s, Boundary=0.7095, loss=1.2391]
train:  12%|█████████▎                                                                 | 39/315 [00:17<01:42,  2.70it/s, Boundary=0.7082, loss=1.2331]
train:  13%|█████████▌                                                                 | 40/315 [00:17<01:41,  2.71it/s, Boundary=0.7082, loss=1.2331]
train:  13%|█████████▌                                                                 | 40/315 [00:17<01:41,  2.71it/s, Boundary=0.7062, loss=1.2255]
train:  13%|█████████▊                                                                 | 41/315 [00:17<01:41,  2.71it/s, Boundary=0.7062, loss=1.2255]
train:  13%|█████████▊                                                                 | 41/315 [00:17<01:41,  2.71it/s, Boundary=0.7042, loss=1.2169]
train:  13%|██████████                                                                 | 42/315 [00:17<01:40,  2.71it/s, Boundary=0.7042, loss=1.2169]
train:  13%|██████████                                                                 | 42/315 [00:18<01:40,  2.71it/s, Boundary=0.7038, loss=1.2135]
train:  14%|██████████▏                                                                | 43/315 [00:18<01:40,  2.70it/s, Boundary=0.7038, loss=1.2135]
train:  14%|██████████▏                                                                | 43/315 [00:18<01:40,  2.70it/s, Boundary=0.7010, loss=1.2072]
train:  14%|██████████▍                                                                | 44/315 [00:18<01:40,  2.70it/s, Boundary=0.7010, loss=1.2072]
train:  14%|██████████▍                                                                | 44/315 [00:18<01:40,  2.70it/s, Boundary=0.7010, loss=1.2040]
train:  14%|██████████▋                                                                | 45/315 [00:18<01:40,  2.70it/s, Boundary=0.7010, loss=1.2040]
train:  14%|██████████▋                                                                | 45/315 [00:19<01:40,  2.70it/s, Boundary=0.7006, loss=1.2053]
train:  15%|██████████▉                                                                | 46/315 [00:19<01:39,  2.69it/s, Boundary=0.7006, loss=1.2053]
train:  15%|██████████▉                                                                | 46/315 [00:19<01:39,  2.69it/s, Boundary=0.7006, loss=1.2023]
train:  15%|███████████▏                                                               | 47/315 [00:19<01:39,  2.70it/s, Boundary=0.7006, loss=1.2023]
train:  15%|███████████▏                                                               | 47/315 [00:20<01:39,  2.70it/s, Boundary=0.6998, loss=1.1965]
train:  15%|███████████▍                                                               | 48/315 [00:20<01:38,  2.71it/s, Boundary=0.6998, loss=1.1965]
train:  15%|███████████▍                                                               | 48/315 [00:20<01:38,  2.71it/s, Boundary=0.6988, loss=1.1951]
train:  16%|███████████▋                                                               | 49/315 [00:20<01:38,  2.71it/s, Boundary=0.6988, loss=1.1951]
train:  16%|███████████▋                                                               | 49/315 [00:20<01:38,  2.71it/s, Boundary=0.6979, loss=1.1887]
train:  16%|███████████▉                                                               | 50/315 [00:20<01:37,  2.71it/s, Boundary=0.6979, loss=1.1887]
train:  16%|███████████▉                                                               | 50/315 [00:21<01:37,  2.71it/s, Boundary=0.6967, loss=1.1848]
train:  16%|████████████▏                                                              | 51/315 [00:21<01:36,  2.72it/s, Boundary=0.6967, loss=1.1848]
train:  16%|████████████▏                                                              | 51/315 [00:21<01:36,  2.72it/s, Boundary=0.6961, loss=1.1818]
train:  17%|████████████▍                                                              | 52/315 [00:21<01:36,  2.74it/s, Boundary=0.6961, loss=1.1818]
