epoch,overall_miou,urban_miou,rural_miou,worst_domain_miou,dg_balanced_score,overall_pixel_acc,urban_pixel_acc,rural_pixel_acc,overall_iou_background,overall_iou_building,overall_iou_road,overall_iou_water,overall_iou_barren,overall_iou_forest,overall_iou_agriculture,urban_iou_background,urban_iou_building,urban_iou_road,urban_iou_water,urban_iou_barren,urban_iou_forest,urban_iou_agriculture,rural_iou_background,rural_iou_building,rural_iou_road,rural_iou_water,rural_iou_barren,rural_iou_forest,rural_iou_agriculture
1,0.49169762730669203,0.5327791472245342,0.40186150005717103,0.40186150005717103,0.4467795636819315,0.6844506896183897,0.6745308787633373,0.6910741924460891,0.5318666041325086,0.6107174828104417,0.5403098516598829,0.7149857147566224,0.19083760313965417,0.3794760480308191,0.47369008661691514,0.4329544287784173,0.65124479158645,0.6195393646793017,0.7313220608961698,0.3205895625731964,0.5240464239466601,0.4497573981115441,0.5769841897860967,0.5193952178123882,0.36944399837030295,0.7041071005749813,0.05887910768657771,0.0970017552873501,0.4872191308825004
2,0.5043964083998056,0.5468786174235486,0.4097929002403742,0.4097929002403742,0.4570946543200899,0.6895099115076336,0.6808380540964268,0.6953001501446213,0.5381209817087027,0.6012263515480831,0.5082649436722959,0.6873226386872678,0.35716046301717924,0.3351015261948994,0.5035779539702112,0.4394843224716778,0.6466767670611735,0.5919493799168563,0.727995393682802,0.43849353533503277,0.49826341042157996,0.4852875130757182,0.581869226427574,0.4887554555692003,0.33188035994446885,0.659170772412952,0.24706161713362582,0.04588723039203864,0.5139256398027597
3,0.5258998078485552,0.5631345113041479,0.4453324883244268,0.4453324883244268,0.485616148086491,0.6972055910811765,0.690557924196693,0.7016442684965382,0.5403301234960217,0.6126101480179387,0.555230646445947,0.7072257767329052,0.37122423200138227,0.40726239954201193,0.48741532870367965,0.44458091684221723,0.647785546223062,0.6365893944316628,0.7307752696917097,0.4567682458720914,0.5486240298314763,0.47681817623681644,0.5841495711432572,0.5311304475477786,0.3809657644795764,0.6921427926190602,0.2754526642070524,0.1600632798819897,0.4934228983922732
4,0.5242837014652084,0.5900974293566588,0.410387474123433,0.410387474123433,0.4673355877943207,0.7106840064194448,0.722237487087383,0.7029696948270134,0.558089658399565,0.6088124365201527,0.5450773315631967,0.6892095510410712,0.33069723244542126,0.37914095426856387,0.5589587460184878,0.4707800618991163,0.6560237277607804,0.62779813227879,0.7431297107562571,0.498103619174316,0.5546807394792281,0.5801660141481233,0.5946650951009192,0.4927372217580053,0.36366330051176865,0.6518040842743403,0.17109880466716615,0.05148434416045846,0.5472594683913732
5,0.5305375029647447,0.5810910150949545,0.4314199952998029,0.4314199952998029,0.4809787491322738,0.7173599894592505,0.7220253555414853,0.7142449033059499,0.5643986793556325,0.6356537810863441,0.5670971391974723,0.7086195758550465,0.30806566993437756,0.3701206630195016,0.5598070123048385,0.4781778454940987,0.6641527828851805,0.643679066251426,0.7246273962432676,0.44120642726773895,0.5403261779481584,0.5754674095748111,0.5991210454369079,0.5661954071426898,0.3966609582893284,0.6975323690169549,0.16287567898569696,0.04685695531339573,0.5506975529136464
6,0.5117781688704343,0.566254030782193,0.4024749825730249,0.4024749825730249,0.45712657572172954,0.6952746938211191,0.696880135693493,0.6942027329806602,0.5387528849824473,0.5959876338611511,0.5550930337444608,0.7106842070820036,0.3015555231176378,0.37857735925677083,0.501796540048568,0.43954375977974564,0.6730899920745995,0.6291583354734563,0.7258484939731485,0.45661816748816525,0.548573440946597,0.490946025739639,0.5814804546028615,0.4425843635293344,0.38887041633574454,0.7008470524860329,0.14508652116294343,0.05048495534825317,0.5079711145460046
7,0.5185719111402844,0.5657057107958784,0.419735767556741,0.419735767556741,0.46915383934851274,0.6992820140953063,0.7002785299845015,0.6986166359034863,0.5459131747712392,0.6101799416386943,0.5494736669289333,0.7112838162837846,0.32103977082450047,0.3907882365496172,0.5013247709852221,0.45257320934195855,0.6659482104790799,0.6274404101012144,0.7252785161942397,0.432910969552916,0.5492460357560268,0.506542624145713,0.5856354881247949,0.4842461767385319,0.3793131798386457,0.7019643677276608,0.19051239613051021,0.09814266354982447,0.4983361007872193
8,0.5063689925727569,0.5607594602043268,0.3994313403554788,0.3994313403554788,0.45290016646411785,0.6979471558088036,0.7018259549366086,0.6953572639886376,0.5442749221008564,0.5967393833366667,0.5445122688774245,0.716479737432493,0.24886528911554734,0.3788662387360216,0.5148451084102892,0.4519184481260543,0.6715466385861372,0.6243144905818008,0.7321646179863337,0.37374301168061425,0.5460304864209016,0.5255985280484455,0.5839532988657513,0.46015542712936974,0.3686210880864547,0.706092646138621,0.11836141494690713,0.05016414262516381,0.5086713646960839
9,0.5179692592517909,0.5738300196222254,0.41205208474407223,0.41205208474407223,0.46501067199793156,0.7022316943155478,0.7093736093792635,0.6974630051428489,0.5415407789454787,0.6091651436328643,0.5495089648170831,0.7046065367840043,0.30444086540804055,0.3888660371297314,0.5276564880453343,0.4504739170452241,0.6723088065556931,0.6311485822273262,0.7335793938135464,0.4289531013301621,0.5577637509052736,0.5425825854783521,0.5803761836393353,0.4887784120472189,0.36825001220076625,0.6865826110115437,0.16762371415935418,0.0736063967560687,0.5191472633942187
10,0.5093463952133274,0.5646498349910628,0.4034561432204948,0.4034561432204948,0.45640126921691104,0.6996200861839473,0.7042498490092914,0.6965287724872122,0.5453377718435478,0.6032347126703747,0.5530081479181828,0.7138074242719571,0.2558297344885765,0.3765717518603823,0.51763522344027,0.45432428433619504,0.6697858533715799,0.6331774204978871,0.7320417464050617,0.38924928443280415,0.5425992361585887,0.5313710197353227,0.5842849755200391,0.4685945424677134,0.3734937430525116,0.7017192712040119,0.11436277434245884,0.07204608734600779,0.5096916086107206
